age_in_days,asset.host_name,asset.id,asset.ipv4_addresses,asset.name,asset.operating_systems,definition.cve,definition.description,definition.family,definition.id,definition.name,definition.solution,definition.vpr.score,definition.vulnerability_published,definition.workaround,definition.workaround_published,definition.workaround_type,first_observed,id,last_seen,port,protocol,resurfaced_date,severity,state,vuln_age,vuln_sla_date
148,hqcoreswan01.example.net,asset-67961,10.4.88.178,HQCORESWAN01,Cisco IOS OS,CVE-2024-20353,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2823,Cisco ASA and FTD Software Web Services DoS,Upgrade to the latest firmware version.,8.405118050054174,2025-05-11,Disable affected service if not required.,2025-12-27,Mitigation,2025-10-15,vuln-319162,2026-01-31,8443,TCP,,High,ACTIVE,53,2026-04-03
281,hqcoreswan01.example.net,asset-67961,10.124.160.187,HQCORESWAN01,Cisco IOS OS,CVE-2021-34527,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3315,Cisco IOS XE Software Buffer Overflow,Upgrade to the latest firmware version.,7.995071143647695,2025-12-29,Disable affected service if not required.,2025-06-29,Mitigation,2025-08-11,vuln-795759,2026-02-01,22,UDP,,High,ACTIVE,44,2026-05-04
103,hqcoreswan01.example.net,asset-67961,10.203.179.159,HQCORESWAN01,Cisco IOS OS,CVE-2023-20198,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5444,Cisco IOS XE Software Web UI Privilege Escalation,Upgrade to the latest firmware version.,9.553085248656279,2025-02-06,Disable affected service if not required.,2026-01-03,Mitigation,2025-12-21,vuln-507523,2026-01-31,80,ICMP,,Critical,ACTIVE,169,2026-04-14
10,hqcoreswan01.example.net,asset-67961,10.75.223.227,HQCORESWAN01,Cisco IOS OS,CVE-2024-20359,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7332,Cisco ASA and FTD Software Arbitrary File Read,Upgrade to the latest firmware version.,5.731168620137817,2025-06-27,Disable affected service if not required.,2025-04-22,Mitigation,2025-12-13,vuln-430779,2026-02-02,8443,ICMP,,Medium,ACTIVE,23,2026-04-26
257,hqcoreswan01.example.net,asset-67961,10.248.118.144,HQCORESWAN01,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-1352,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,7.239752403254749,2025-04-11,Disable affected service if not required.,2025-08-04,Mitigation,2025-10-14,vuln-613731,2026-02-02,0,TCP,,High,ACTIVE,5,2026-04-15
182,hqcoreswan01.example.net,asset-67961,10.161.78.61,HQCORESWAN01,Cisco IOS OS,CVE-2022-20699,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9212,Cisco Small Business Routers RCE,Upgrade to the latest firmware version.,9.575878278999722,2025-12-07,Disable affected service if not required.,2025-08-29,Mitigation,2025-09-30,vuln-954441,2026-02-05,8443,UDP,,Critical,ACTIVE,58,2026-04-28
202,hqcoreswan01.example.net,asset-67961,10.169.36.23,HQCORESWAN01,Cisco IOS OS,CVE-2020-3566,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7262,Cisco IOS XR Software DVMRP Memory Exhaustion,Upgrade to the latest firmware version.,6.820717844073517,2025-02-28,Disable affected service if not required.,2025-09-13,Mitigation,2025-09-23,vuln-352036,2026-02-01,23,UDP,,Medium,ACTIVE,80,2026-03-10
230,hqcoreswan01.example.net,asset-67961,10.139.34.53,HQCORESWAN01,Cisco IOS OS,CVE-2023-20273,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3270,Cisco IOS XE Software Web UI Command Injection,Upgrade to the latest firmware version.,7.281030700663878,2025-09-26,Disable affected service if not required.,2025-10-29,Mitigation,2025-10-20,vuln-821978,2026-01-31,8443,TCP,,High,ACTIVE,111,2026-03-10
336,hqcoreswan01.example.net,asset-67961,10.239.145.235,HQCORESWAN01,Cisco IOS OS,CVE-2022-20968,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3589,Cisco IP Phone Buffer Overflow,Upgrade to the latest firmware version.,5.317496210841939,2025-03-28,Disable affected service if not required.,2025-11-08,Mitigation,2025-11-21,vuln-433025,2026-01-30,23,ICMP,,Medium,ACTIVE,8,2026-03-20
212,hqcoreswan01.example.net,asset-67961,10.247.106.78,HQCORESWAN01,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8258,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.745609729988638,2025-02-15,Disable affected service if not required.,2025-08-20,Mitigation,2025-11-30,vuln-916953,2026-02-04,22,TCP,,High,ACTIVE,48,2026-05-06
